ID,GroundTruth,YEAR,MONTH,DAY
0,0.0,1960,5,27
1,0.0,1960,5,28
2,0.0,1960,5,29
3,0.0,1960,5,30
4,0.0,1960,6,1
5,0.0,1960,6,2
6,0.0,1960,6,3
7,0.0,1960,6,4
8,0.0,1960,6,5
9,0.0,1960,6,6
10,0.0,1960,6,7
11,1.0,1960,6,8
12,1.0,1960,6,9
13,1.0,1960,6,10
14,1.0,1960,6,11
15,1.0,1960,6,12
16,1.0,1960,6,13
17,0.0,1960,6,14
18,0.0,1960,6,15
19,0.0,1960,6,16
20,0.0,1960,6,17
21,0.0,1960,6,18
22,0.0,1960,6,19
23,0.0,1960,6,20
24,0.0,1960,6,21
25,0.0,1960,6,22
26,1.0,1960,6,23
27,1.0,1960,6,24
28,1.0,1960,6,25
29,1.0,1960,6,26
30,1.0,1960,6,27
31,0.0,1960,6,28
32,0.0,1960,6,29
33,0.0,1960,6,30
34,0.0,1960,7,1
35,0.0,1960,7,2
36,0.0,1960,7,3
37,0.0,1960,7,4
38,0.0,1960,7,5
39,1.0,1960,7,6
40,1.0,1960,7,7
41,1.0,1960,7,8
42,1.0,1960,7,9
43,1.0,1960,7,10
44,0.0,1960,7,11
45,0.0,1960,7,12
46,0.0,1960,7,13
47,0.0,1960,7,14
48,0.0,1960,7,15
49,0.0,1960,7,16
50,0.0,1960,7,17
51,0.0,1960,7,18
52,0.0,1960,7,19
53,0.0,1960,7,20
54,1.0,1960,7,21
55,1.0,1960,7,22
56,1.0,1960,7,23
57,1.0,1960,7,24
58,1.0,1960,7,25
59,0.0,1960,7,26
60,0.0,1960,7,27
61,0.0,1960,7,28
62,0.0,1960,7,29
63,0.0,1960,7,30
64,0.0,1960,8,1
65,1.0,1960,8,2
66,1.0,1960,8,3
67,1.0,1960,8,4
68,1.0,1960,8,5
69,1.0,1960,8,6
70,1.0,1960,8,7
71,1.0,1960,8,8
72,1.0,1960,8,9
73,1.0,1960,8,10
74,1.0,1960,8,11
75,1.0,1960,8,12
76,1.0,1960,8,13
77,1.0,1960,8,14
78,1.0,1960,8,15
79,1.0,1960,8,16
80,0.0,1960,8,17
81,0.0,1960,8,18
82,0.0,1960,8,19
83,0.0,1960,8,20
84,0.0,1960,8,21
85,0.0,1960,8,22
86,0.0,1960,8,23
87,0.0,1960,8,24
88,0.0,1960,8,25
89,0.0,1960,8,26
90,0.0,1960,8,27
91,0.0,1960,8,28
92,0.0,1960,8,29
93,1.0,1960,8,30
94,1.0,1960,9,1
95,1.0,1960,9,2
96,1.0,1960,9,3
97,1.0,1960,9,4
98,0.0,1961,5,27
99,0.0,1961,5,28
100,0.0,1961,5,29
101,0.0,1961,5,30
102,0.0,1961,6,1
103,1.0,1961,6,2
104,1.0,1961,6,3
105,1.0,1961,6,4
106,1.0,1961,6,5
107,1.0,1961,6,6
108,0.0,1961,6,7
109,0.0,1961,6,8
110,0.0,1961,6,9
111,0.0,1961,6,10
112,0.0,1961,6,11
113,0.0,1961,6,12
114,0.0,1961,6,13
115,0.0,1961,6,14
116,0.0,1961,6,15
117,0.0,1961,6,16
118,0.0,1961,6,17
119,0.0,1961,6,18
120,0.0,1961,6,19
121,0.0,1961,6,20
122,0.0,1961,6,21
123,0.0,1961,6,22
124,0.0,1961,6,23
125,0.0,1961,6,24
126,0.0,1961,6,25
127,0.0,1961,6,26
128,0.0,1961,6,27
129,0.0,1961,6,28
130,0.0,1961,6,29
131,0.0,1961,6,30
132,0.0,1961,7,1
133,0.0,1961,7,2
134,0.0,1961,7,3
135,0.0,1961,7,4
136,0.0,1961,7,5
137,0.0,1961,7,6
138,0.0,1961,7,7
139,0.0,1961,7,8
140,0.0,1961,7,9
141,0.0,1961,7,10
142,0.0,1961,7,11
143,0.0,1961,7,12
144,0.0,1961,7,13
145,0.0,1961,7,14
146,0.0,1961,7,15
147,0.0,1961,7,16
148,0.0,1961,7,17
